month,level_1,value,mail_value
2015-01,Total Passengers,4420122,2808
2015-02,Total Passengers,4121357,2252
2015-03,Total Passengers,4535119,2598
2015-04,Total Passengers,4391381,2488
2015-05,Total Passengers,4480261,2708
2015-06,Total Passengers,4699589,2605
2015-07,Total Passengers,4893574,2642
2015-08,Total Passengers,4955301,2725
2015-09,Total Passengers,4421554,2859
2015-10,Total Passengers,4600789,3199
2015-11,Total Passengers,4636752,3307
2015-12,Total Passengers,5293165,3654
2016-01,Total Passengers,4860156,3055
2016-02,Total Passengers,4602026,2558
2016-03,Total Passengers,4902767,3281
2016-04,Total Passengers,4793662,3286
2016-05,Total Passengers,4781918,3049
2016-06,Total Passengers,4838307,2818
2016-07,Total Passengers,5181108,2780
2016-08,Total Passengers,4923309,2743
2016-09,Total Passengers,4584383,2847
2016-10,Total Passengers,4768937,3113
2016-11,Total Passengers,4784818,3500
2016-12,Total Passengers,5676648,3860
2017-01,Total Passengers,5256301,3478
2017-02,Total Passengers,4669729,2817
2017-03,Total Passengers,5112576,3430
2017-04,Total Passengers,5168548,3223
2017-05,Total Passengers,5003578,3359
2017-06,Total Passengers,5208779,2952
2017-07,Total Passengers,5415734,3113
2017-08,Total Passengers,5265703,2949
2017-09,Total Passengers,4927561,3366
2017-10,Total Passengers,5155327,3200
2017-11,Total Passengers,5173747,3768
2017-12,Total Passengers,5861990,4119
2018-01,Total Passengers,5303639,3859
2018-02,Total Passengers,4932345,2786
2018-03,Total Passengers,5555117,3778
2018-04,Total Passengers,5430745,3489
2018-05,Total Passengers,5294980,3206
2018-06,Total Passengers,5565775,2889
2018-07,Total Passengers,5723094,2944
2018-08,Total Passengers,5682688,2996
2018-09,Total Passengers,5225903,3100
2018-10,Total Passengers,5376234,3191
2018-11,Total Passengers,5408993,3780
2018-12,Total Passengers,6127843,4077
2019-01,Total Passengers,5656076,3282
2019-02,Total Passengers,5131807,2664
2019-03,Total Passengers,5630780,3448
2019-04,Total Passengers,5580503,3189
2019-05,Total Passengers,5407308,3292
2019-06,Total Passengers,5816089,2954
2019-07,Total Passengers,5910782,3253
2019-08,Total Passengers,5900629,3416
2019-09,Total Passengers,5469342,3478
2019-10,Total Passengers,5646643,3760
2019-11,Total Passengers,5718386,4573
2019-12,Total Passengers,6414495,5255
2020-01,Total Passengers,5950940,4025
2020-02,Total Passengers,3446022,3159
2020-03,Total Passengers,1649662,2558
2020-04,Total Passengers,25189,931
2020-05,Total Passengers,24504,1633
2020-06,Total Passengers,48241,2496
2020-07,Total Passengers,85981,3054
