month,Origin,Region,Destination,Total_Passenger_Depart
2020-02,Singapore,South East Asia,Malaysia,152293
2020-02,Singapore,South East Asia,Indonesia,201381
2020-02,Singapore,South East Asia,Thailand,142700
2020-02,Singapore,South East Asia,Philippines,87293
2020-02,Singapore,South East Asia,Vietnam,63629
2020-02,Singapore,North East Asia,China,26823
2020-02,Singapore,North East Asia,Hong Kong,33674
2020-02,Singapore,North East Asia,Japan,105323
2020-02,Singapore,Europe,United Kingdom,52668
2020-02,Singapore,Europe,France,15019
2020-02,Singapore,Europe,Germany,44469
